name,year,pg_rating,run_time,rating
Indiana Jones and the Dial of Destiny,2023,PG-13,154 min,6.9
The Flash,2023,PG-13,144 min,7.2
Spider-Man: Across the Spider-Verse,2023,PG,140 min,8.9
Extraction II,2023,R,122 min,7.1
Avatar: The Way of Water,2022,PG-13,192 min,7.6
Transformers: Rise of the Beasts,2023,PG-13,127 min,6.5
Extraction,2020,R,116 min,6.8
John Wick: Chapter 4,2023,R,169 min,7.9
The Covenant,2023,R,123 min,7.5
Indiana Jones and the Raiders of the Lost Ark,1981,PG,115 min,8.4
Dune: Part Two,2023,"
Action, Adventure, Drama",,
Mission: Impossible - Dead Reckoning Part One,2023,PG-13,163 min,
Drive-Away Dolls,2023,"
Action, Comedy, Thriller",,
Fast X,2023,PG-13,141 min,5.9
Sound of Freedom,2022,PG-13,135 min,8.6
Guardians of the Galaxy Vol. 3,2023,PG-13,150 min,8.2
Dungeons & Dragons: Honor Among Thieves,2023,PG-13,134 min,7.3
Spider-Man: Into the Spider-Verse,2018,PG,117 min,8.4
Indiana Jones and the Last Crusade,1989,PG-13,127 min,8.2
Indiana Jones and the Kingdom of the Crystal Skull,2008,PG-13,122 min,6.2
Indiana Jones and the Temple of Doom,1984,PG,118 min,7.5
Kandahar,2023,R,119 min,6.0
"Ruby Gillman, Teenage Kraken",2023,PG,91 min,5.9
The Machine,2023,R,112 min,6.0
Nimona,2023,PG,101 min,7.7
Superman: Legacy,2025,"
Action, Adventure, Fantasy",,
Dune: Part One,2021,PG-13,155 min,8.0
Knights of the Zodiac,2023,PG-13,112 min,4.4
Retribution,2023,"
Action, Crime, Drama",,
Top Gun: Maverick,2022,PG-13,130 min,8.3
Kraven the Hunter,2023,"
Action, Adventure, Sci-Fi",,
Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,"
Animation, Action, Adventure",,
Ant-Man and the Wasp: Quantumania,2023,PG-13,124 min,6.1
Sisu,2022,R,91 min,6.9
Shazam! Fury of the Gods,2023,PG-13,130 min,6.0
The Wrath of Becky,2023,R,84 min,6.0
The Batman,2022,PG-13,176 min,7.8
Everything Everywhere All at Once,2022,R,139 min,7.8
The Dark Knight,2008,PG-13,152 min,9.0
Avatar,2009,PG-13,162 min,7.9
Inception,2010,PG-13,148 min,8.8
Hypnotic,2023,R,93 min,5.5
Bullet Train,2022,R,127 min,7.3
Spider-Man: No Way Home,2021,PG-13,148 min,8.2
Ghosted,2023,PG-13,116 min,5.8
John Wick,2014,R,101 min,7.4
65,2023,PG-13,93 min,5.4
Operation Fortune: Ruse de Guerre,2023,R,114 min,6.3
Avengers: Endgame,2019,PG-13,181 min,8.4
Mission: Impossible - Fallout,2018,PG-13,147 min,7.7
